Sr_No,Contact,Paper,Link,Google_Scholar_Link,Year,Author_Names,Citation,
18,Chenghao Yang,How Alignment Shrinks the Generative Horizon,https://arxiv.org/abs/2506.17871,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2025,"Yang, C., & Holtzman, A.","Yang, C., & Holtzman, A. (2025). How alignment shrinks the generative horizon. arXiv preprint arXiv:2506.17871.",FALSE
19,Chenghao Yang,Tokenized Bandit for LLM Decoding and Alignment,https://icml.cc/virtual/2025/poster/45185,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2025,"Shin, S., Yang, C., Xu, H., & Hajiaghayi, M. T.","Shin, S., Yang, C., Xu, H., & Hajiaghayi, M. T. (2025). Tokenized bandit for LLM decoding and alignment. In Proceedings of the 42nd International Conference on Machine Learning (ICML 2025). arXiv:2506.07276.",TRUE
20,Chenghao Yang,Grounded Persuasive Language Generation for Automated Marketing,https://arxiv.org/abs/2502.16810,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2025,"Wu, J., Yang, C., Mahns, S., Wang, C., Zhu, H., Fang, F., & Xu, H.","Wu, J., Yang, C., Mahns, S., Wang, C., Zhu, H., Fang, F., & Xu, H. (2025). Grounded persuasive language generation for automated marketing (arXiv:2502.16810). arXiv.",FALSE
21,Chenghao Yang,When Hindsight is Not 20/20: Testing Limits on Reflective Thinking in Large Language Models (NAACL 2024 Findings),https://aclanthology.org/2024.findings-naacl.237/,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2024,"Li, Y., Yang, C., & Ettinger, A.","Li, Y., Yang, C., & Ettinger, A. (2024). When hindsight is not 20/20: Testing limits on reflective thinking in large language models. In Findings of the Association for Computational Linguistics: NAACL 2024. arXiv:2404.09129.",TRUE
22,Chenghao Yang,"Identifying Self-Disclosures of Use, Misuse and Addiction in Community-based Social Media Posts (NAACL 2024 Findings)",https://aclanthology.org/2024.findings-naacl.161/,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2024,"Yang, C., Chakrabarty, T., Hochstatter, K. R., Slavin, M. N., El‑Bassel, N., & Muresan, S.","Yang, C., Chakrabarty, T., Hochstatter, K. R., Slavin, M. N., El‑Bassel, N., & Muresan, S. (2024). Identifying self‑disclosures of use, misuse and addiction in community‑based social media posts. In Findings of the Association for Computational Linguistics: NAACL 2024 (pp. 2507–2521). Association for Computational Linguistics",TRUE
23,Chenghao Yang,Can You Follow Me? Testing Situational Understanding in ChatGPT (EMNLP 2023),https://aclanthology.org/2023.emnlp-main.394/,https://scholar.google.com/citations?hl=zh-CN&user=B28fiOAAAAAJ&view_op=list_works&sortby=pubdate,2023,"Yang, C., & Ettinger, A.","Yang, C., & Ettinger, A. (2023). Can You Follow Me? Testing situational understanding in ChatGPT. In Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing (pp. 6385–6398). Association for Computational Linguistics",TRUE
24,Xiaoyan Bai,Concept Incongruence: An Exploration of Time and Death in Role Playing,https://arxiv.org/abs/2505.14905,https://scholar.google.com/citations?hl=en&user=ic3BUhMAAAAJ&view_op=list_works&sortby=pubdate,2025,"Bai, X., Peng, I., Singh, A., & Tan, C.","Bai, X., Peng, I., Singh, A., & Tan, C. (2025). Concept incongruence: An exploration of time and death in role playing (arXiv:2505.14905). arXiv",FALSE
25,Akhil Premkumar,Diffusion Density Estimators,https://arxiv.org/abs/2410.06986,https://scholar.google.com/citations?hl=en&user=clBdLXkAAAAJ&view_op=list_works&sortby=pubdate,2024,"Premkumar, A.","Premkumar, A. (2024). Diffusion density estimators (arXiv:2410.06986). arXiv.",FALSE
26,Akhil Premkumar,Neural entropy,https://arxiv.org/abs/2409.03817,https://scholar.google.com/citations?hl=en&user=clBdLXkAAAAJ&view_op=list_works&sortby=pubdate,2024,"Premkumar, A.","Premkumar, A. (2024). Neural entropy (arXiv:2409.03817). arXiv.",FALSE
27,Mark Muchane,Incorporating Hierarchical Semantics in Sparse Autoencoder Architectures,https://arxiv.org/abs/2506.01197,https://scholar.google.com/citations?user=HI7IMRYAAAAJ&hl=en,2025,"Muchane, M., Richardson, S., Park, K., & Veitch, V.","Muchane, M., Richardson, S., Park, K., & Veitch, V. (2025). Incorporating hierarchical semantics in sparse autoencoder architectures (arXiv:2506.01197). arXiv.",FALSE
28,Owen Melia,Hardware Acceleration for HPS Algorithms in Two and Three Dimensions,https://arxiv.org/abs/2503.17535,https://scholar.google.com/citations?user=flFf22sAAAAJ&hl=en,2025,"Melia, O., Fortunato, D., Hoskins, J., & Willett, R.","Melia, O., Fortunato, D., Hoskins, J., & Willett, R. (2025). Hardware acceleration for HPS algorithms in two and three dimensions (arXiv:2503.17535). arXiv.",FALSE
29,Owen Melia,Multi-frequency progressive refinement for learned inverse scattering,https://www.sciencedirect.com/science/article/pii/S0021999125000920?via%3Dihub,https://scholar.google.com/citations?user=flFf22sAAAAJ&hl=en,2025,"Melia, O., Tsang, O., Charisopoulos, V., Khoo, Y., Hoskins, J., & Willett, R.","Melia, O., Tsang, O., Charisopoulos, V., Khoo, Y., Hoskins, J., & Willett, R. (2025). Multi-frequency progressive refinement for learned inverse scattering. Journal of Computational Physics, 113809.",TRUE
30,Owen Melia,Rotation-invariant random features provide a strong baseline for machine learning on 3D point clouds,https://arxiv.org/abs/2308.06271,https://scholar.google.com/citations?user=flFf22sAAAAJ&hl=en,2023,"Melia, O., Jonas, E., & Willett, R.","Melia, O., Jonas, E., & Willett, R. (2023). Rotation-invariant random features provide a strong baseline for machine learning on 3D point clouds (arXiv:2308.06271). arXiv.",FALSE
31,Mingxuan Li,HypoEval: Hypothesis-Guided Evaluation for Natural Language Generation,https://arxiv.org/abs/2504.07174,https://scholar.google.com/citations?user=Yw-IQncAAAAJ&hl=en,2025,"Li, M., Li, H., & Tan, C.","Li, M., Li, H., & Tan, C. (2025). HypoEval: Hypothesis-guided evaluation for natural language generation (arXiv:2504.07174). arXiv.",FALSE
32,Mingxuan Li,Literature Meets Data: A Synergistic Approach to Hypothesis Generation,https://arxiv.org/abs/2410.17309,https://scholar.google.com/citations?user=Yw-IQncAAAAJ&hl=en,2024,"Liu, H., Zhou, Y., Li, M., Yuan, C., & Tan, C.","Liu, H., Zhou, Y., Li, M., Yuan, C., & Tan, C. (2024). Literature meets data: A synergistic approach to hypothesis generation (arXiv:2410.17309). arXiv.",FALSE
33,Todd Nief,Multiple Streams of Relation Extraction: Enriching and Recalling in Transformers,https://arxiv.org/abs/2506.20746,https://scholar.google.com/citations?user=I5oa8j4AAAAJ,2025,"Nief, T., Reber, D., Richardson, S., & Holtzman, A.","Nief, T., Reber, D., Richardson, S., & Holtzman, A. (2025). Multiple Streams of Relation Extraction: Enriching and Recalling in Transformers (arXiv:2506.20746). arXiv.",FALSE
34,Dixi Yao,Private Retrieval Augmented Generation with Random Projection,https://openreview.net/forum?id=5DfhoxRPXh,https://scholar.google.com/citations?hl=en&user=6f5HCVAAAAAJ&view_op=list_works&sortby=pubdate,2025,"Yao, D., & Li, T.","Yao, D., & Li, T. (2025). Private Retrieval Augmented Generation with Random Projection. In Proceedings of the ICLR 2025 Workshop on Building Trust in LLMs and LLM Applications: From Guardrails to Explainability to Regulation.",TRUE
35,Aaron Schein,Modeling Latent Underdispersion with Discrete Order Statistics,https://arxiv.org/abs/2507.09032,https://scholar.google.com/citations?hl=en&user=CaHuRsgAAAAJ&view_op=list_works&sortby=pubdate,2025,"Lederman, J., & Schein, A.","Lederman, J., & Schein, A. (2025). Modeling Latent Underdispersion with Discrete Order Statistics. arXiv [Preprint]. arXiv:2507.09032.",FALSE
36,Aaron Schein,Broad Spectrum Structure Discovery in Large-Scale Higher-Order Networks,https://arxiv.org/abs/2505.21748,https://scholar.google.com/citations?hl=en&user=CaHuRsgAAAAJ&view_op=list_works&sortby=pubdate,2025,"Hood, J., De Bacco, C., & Schein, A.","Hood, J., De Bacco, C., & Schein, A. (2025). Broad spectrum structure discovery in large-scale higher-order networks. arXiv preprint arXiv:2505.21748.",FALSE
37,Aaron Schein,Layers at similar depths generate similar activations across llm architectures,https://arxiv.org/abs/2504.08775,https://scholar.google.com/citations?hl=en&user=CaHuRsgAAAAJ&view_op=list_works&sortby=pubdate,2025,"Wolfram, C., & Schein, A.","Wolfram, C., & Schein, A. (2025). Layers at similar depths generate similar activations across LLM architectures. arXiv preprint arXiv:2504.08775.",FALSE
38,Tzu-Chen Huang,Deep learning lattice gauge theories,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.110.165133,https://scholar.google.com/citations?hl=en&user=mhU0hqEAAAAJ&view_op=list_works&sortby=pubdate,2024,"Apte, A., Córdova, C., Huang, T.-C., & Ashmore, A.","Apte, A., Córdova, C., Huang, T.-C., & Ashmore, A. (2024). Deep learning lattice gauge theories. Physical Review B, 110(16), 165133.",TRUE
39,Ruoxi Jiang,Nested diffusion models using hierarchical latent priors,https://arxiv.org/abs/2412.05984,https://scholar.google.com/citations?hl=en&user=fbVZpI4AAAAJ&view_op=list_works&sortby=pubdate,2024,"Zhang, X., Jiang, R., Willett, R., & Maire, M.","Zhang, X., Jiang, R., Willett, R., & Maire, M. (2024). Nested Diffusion Models Using Hierarchical Latent Priors. arXiv preprint, arXiv:2412.05984",FALSE
40,Ruoxi Jiang,Training neural operators to preserve invariant measures of chaotic attractors,https://arxiv.org/abs/2306.01187,https://scholar.google.com/citations?hl=en&user=fbVZpI4AAAAJ&view_op=list_works&sortby=pubdate,2023,"Jiang, R., Lu, P. Y., Orlova, E., & Willett, R.","Jiang, R., Lu, P. Y., Orlova, E., & Willett, R. (2023). Training neural operators to preserve invariant measures of chaotic attractors. Advances in Neural Information Processing Systems (NeurIPS 2023). arXiv:2306.01187",FALSE
41,Honglin Bao,Language models surface the unwritten code of science and society,https://arxiv.org/abs/2505.18942,https://scholar.google.com/citations?hl=en&user=pSdfiCYAAAAJ&view_op=list_works&sortby=pubdate,2025,"Bao, H., Wu, S., Choi, J., Mao, Y., & Evans, J. A.","Bao, H., Wu, S., Choi, J., Mao, Y., & Evans, J. A. (2025). Language models surface the unwritten code of science and society. ArXiv preprint arXiv:2505.18942.",FALSE
42,Honglin Bao,Introspective Growth: Automatically Advancing LLM Expertise in Technology Judgment,https://arxiv.org/abs/2505.12452,https://scholar.google.com/citations?hl=en&user=pSdfiCYAAAAJ&view_op=list_works&sortby=pubdate,2025,"Wu, S., Bao, H., Kunievsky, N., & Evans, J. A.","Wu, S., Bao, H., Kunievsky, N., & Evans, J. A. (2025). Introspective Growth: Automatically Advancing LLM Expertise in Technology Judgment. arXiv preprint arXiv:2505.12452.",FALSE
43,John Hood,The ALCORE Tensor Decomposition for Sparse Count Data,https://proceedings.mlr.press/v238/hood24a.html,https://scholar.google.com/citations?hl=en&user=qhes4BsAAAAJ&view_op=list_works&sortby=pubdate,2024,"Hood, J., & Schein, A. J.","Hood, J., & Schein, A. J. (2024). The ALℓ₀ CORE Tensor Decomposition for Sparse Count Data. In Proceedings of the International Conference on Artificial Intelligence and Statistics (AISTATS 2024) (pp. 4654–4662). PMLR.",TRUE
44,Nikos Ignatiadis,Stein's unbiased risk estimate and Hyvärinen's score matching,https://arxiv.org/abs/2502.20123,https://scholar.google.com/citations?hl=en&user=KH3jpkoAAAAJ&view_op=list_works&sortby=pubdate,2025,"Ghosh, S., Ignatiadis, N., Koehler, F., & Lee, A.","Ghosh, S., Ignatiadis, N., Koehler, F., & Lee, A. (2025). Stein’s unbiased risk estimate and Hyvärinen’s score matching. arXiv preprint arXiv:2502.20123.",FALSE
45,Nikos Ignatiadis,Prediction-Powered Adaptive Shrinkage Estimation,https://arxiv.org/abs/2502.14166,https://scholar.google.com/citations?hl=en&user=KH3jpkoAAAAJ&view_op=list_works&sortby=pubdate,2025,"Li, S., & Ignatiadis, N.","Li, S., & Ignatiadis, N. (2025). Prediction-Powered Adaptive Shrinkage Estimation. arXiv preprint arXiv:2502.14166.",FALSE
46,Sue Parkinson,Relu neural networks with linear layers are biased towards single-and multi-index models,https://epubs.siam.org/doi/abs/10.1137/24M1672158,https://scholar.google.com/citations?hl=en&user=spRkSy4AAAAJ&view_op=list_works&sortby=pubdate,2025,"Parkinson, S., Ongie, G., & Willett, R.","Parkinson, S., Ongie, G., & Willett, R. (2025). Relu neural networks with linear layers are biased towards single- and multi-index models. SIAM Journal on Mathematics of Data Science, 7(2)",TRUE
47,Haokun Liu,Hypobench: Towards systematic and principled benchmarking for hypothesis generation,https://arxiv.org/abs/2504.11524,https://scholar.google.com/citations?hl=en&user=XZaIFNwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Liu, H., Huang, S., Hu, J., Zhou, Y., & Tan, C.","Liu, H., Huang, S., Hu, J., Zhou, Y., & Tan, C. (2025). HypoBench: Towards systematic and principled benchmarking for hypothesis generation",FALSE
48,Haokun Liu,Hypothesis generation with large language models,https://arxiv.org/abs/2404.04326,https://scholar.google.com/citations?hl=en&user=XZaIFNwAAAAJ&view_op=list_works&sortby=pubdate,2024,"Zhou, Y., Liu, H., Srivastava, T., Mei, H., & Tan, C.","Zhou, Y., Liu, H., Srivastava, T., Mei, H., & Tan, C. (2024). Hypothesis generation with large language models. arXiv preprint arXiv:2404.04326.",FALSE
49,Joe Hsu,A machine learning model using clinical notes to identify physician fatigue,https://www.nature.com/articles/s41467-025-60865-4,https://scholar.google.com/citations?hl=en&user=3CGrZdkAAAAJ&view_op=list_works&sortby=pubdate,2025,"Hsu, C.-C., Obermeyer, Z., & Tan, C.","Hsu, C.-C., Obermeyer, Z., & Tan, C. (2025). A machine learning model using clinical notes to identify physician fatigue. Nature Communications, 16(1), 5791. Nature Publishing Group UK.",TRUE
50,Joe Hsu,Clinical Notes Reveal Physician Fatigue,https://arxiv.org/abs/2312.03077,https://scholar.google.com/citations?hl=en&user=3CGrZdkAAAAJ&view_op=list_works&sortby=pubdate,2023,"Hsu, C.-C., Obermeyer, Z., & Tan, C.","Hsu, C.-C., Obermeyer, Z., & Tan, C. (2023). Clinical Notes Reveal Physician Fatigue. arXiv preprint, arXiv:2312.03077.",FALSE
51,Karen Zhou,Quantifying the uniqueness and divisiveness of presidential discourse,https://academic.oup.com/pnasnexus/article/3/10/pgae431/7814873,https://scholar.google.com/citations?hl=en&user=IgomoOoAAAAJ&view_op=list_works&sortby=pubdate,2024,"Zhou, K., Meitus, A. A., Chase, M., Wang, G., Mykland, A., Howell, W., & Tan, C.","Zhou, K., Meitus, A. A., Chase, M., Wang, G., Mykland, A., Howell, W., & Tan, C. (2024). Quantifying the uniqueness and divisiveness of presidential discourse. PNAS Nexus, 3(10), pgae431.",TRUE
52,Chenhao Tan,A Century of Inflation Narratives,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5259107,https://scholar.google.com/citations?hl=en&user=KGMaP18AAAAJ&view_op=list_works&sortby=pubdate,2025,"Heddaya, M., Tan, C., Voigt, R., Zeng, Q., & Zentefis, A.","Heddaya, M., Tan, C., Voigt, R., Zeng, Q., & Zentefis, A. (2025). A century of inflation narratives. Available at SSRN 5259107.",TRUE
53,Trevor Spreadbury,BioMAISx: A Corpus for Aspect-Based Sentiment Analysis of Media Representations of Agricultural Biotechnologies in Africa,https://dl.acm.org/doi/10.1145/3627673.3679152,https://scholar.google.com/citations?hl=en&user=WcDzSCwAAAAJ&view_op=list_works&sortby=pubdate,2024,"Chiril, P., Spreadbury, T., Rock, J. S., Dowd-Uribe, B., & Uminsky, D.","Chiril, P., Spreadbury, T., Rock, J. S., Dowd-Uribe, B., & Uminsky, D. (2024). BioMAISx: A corpus for aspect-based sentiment analysis of media representations of agricultural biotechnologies in Africa. In Proceedings of the 33rd ACM International Conference on Information and Knowledge Management (pp. 5338–5342). ACM.",TRUE
54,Trevor Spreadbury,Seeds of Discourse: A Multilingual Corpus of Direct Quotations from African Media on Agricultural Biotechnologies,https://aclanthology.org/2025.findings-naacl.473/,https://scholar.google.com/citations?hl=en&user=WcDzSCwAAAAJ&view_op=list_works&sortby=pubdate,2025,"Chiril, P., Spreadbury, T., Rock, J. S., Dowd-Uribe, B., & Uminsky, D.","Chiril, P., Spreadbury, T., Rock, J. S., Dowd-Uribe, B., & Uminsky, D. (2025). Seeds of discourse: A multilingual corpus of direct quotations from African media on agricultural biotechnologies. Findings of the Association for Computational Linguistics: NAACL 2025.",TRUE
55,Joshua Jackson,Rising Moralization in Social Media Discourse,https://repository.uncw.edu/items/ac618300-6698-4696-835a-52819dec3fc1,https://scholar.google.com/citations?hl=en&user=cqmbIlIAAAAJ&view_op=list_works&sortby=pubdate,2025,"Puryear, C., Brady, W., Jackson, J. C., Leong, Y., & Kteily, N.","Puryear, C., Brady, W., Jackson, J. C., Leong, Y., & Kteily, N. (2025). Rising moralization in social media discourse. OSF Preprints.",TRUE
56,Joshua Jackson,Prejudice Tied to State Centralization in Historical Societies,https://osf.io/zxuth/download,https://scholar.google.com/citations?hl=en&user=cqmbIlIAAAAJ&view_op=list_works&sortby=pubdate,2025,"Dillion, D., Liu, Y., Chen, Y., Watts, J., Zhao, C., Baral, S., Bucker, W., Atari, M., Kteily, N., & Jackson, J. C.","Dillion, D., Liu, Y., Chen, Y., Watts, J., Zhao, C., Baral, S., Bucker, W., Atari, M., Kteily, N., & Jackson, J. C. (2025). Prejudice tied to state centralization in historical societies. OSF Preprints.",TRUE
57,Joshua Jackson,Historical Polarization in Legislative Support for Civil Rights in the United States,https://osf.io/7cqfs/download,https://scholar.google.com/citations?hl=en&user=cqmbIlIAAAAJ&view_op=list_works&sortby=pubdate,2025,"Jackson, J. C., Liu, Y., & Kteily, N. S.","Jackson, J. C., Liu, Y., & Kteily, N. S. (2025). Historical polarization in legislative support for civil rights in the United States. OSF Preprints.",TRUE
58,Daniel Grzenda,Cartesian Equivariant Representations for Learning and Understanding Molecular Orbitals,https://chemrxiv.org/engage/chemrxiv/article-details/680be389e561f77ed4d5ff22,https://scholar.google.com/citations?hl=en&user=mB3oEmEAAAAJ&view_op=list_works&sortby=pubdate,2025,"King, D., Grzenda, D., Zhu, R., Hudson, N., Foster, I., Cheng, B., & Gagliardi, L.","King, D., Grzenda, D., Zhu, R., Hudson, N., Foster, I., Cheng, B., & Gagliardi, L. (2025). Cartesian equivariant representations for learning and understanding molecular orbitals. In Proceedings of ChemRxiv (pp. 1–24). ChemRxiv.",TRUE
59,Daniel Grzenda,MOFA: Discovering Materials for Carbon Capture with a GenAI-and Simulation-Based Workflow,https://arxiv.org/abs/2501.10651,https://scholar.google.com/citations?hl=en&user=mB3oEmEAAAAJ&view_op=list_works&sortby=pubdate,2025,"Yan, X., Hudson, N., Park, H., Grzenda, D., Pauloski, J. G., Schwarting, M., Harb, H., Foreman, S., Knight, C., Gibbs, T., Chard, K., Chaudhuri, S., Tajkhorshid, E., Foster, I., Moosavi, M., Ward, L., & Huerta, E. A.","Yan, X., Hudson, N., Park, H., Grzenda, D., Pauloski, J. G., Schwarting, M., Harb, H., Foreman, S., Knight, C., Gibbs, T., Chard, K., Chaudhuri, S., Tajkhorshid, E., Foster, I., Moosavi, M., Ward, L., & Huerta, E. A. (2025). MOFA: Discovering materials for carbon capture with a GenAI-and simulation-based workflow. arXiv preprint arXiv:2501.10651.",FALSE
